HA/JIN/GLOB01,Global Care Multispeciality Hospital,"Near Main Bus Stand,Kaithal Road,Nagura Distt.",Jind,Haryana,,
UT/BUL/MATR01,Matrachhaya Mother And Child,"Road, Near Vodafone Store, Dm Colony,",Bulandshahar,Uttar Pradesh,,
HA/FAR/OPAL01,Opal Hospital,"Plot No. 86 Near Omex Hieght,Exit Gate No.2",Faridabad,Haryana,,
HA/SON/PREM01,Prem Hospital (A Multi Speciality,"Meerut Road, Bahalgarh, Sonipat (H.R.)",Sonipat,Haryana,,
RA/JHU/DHAN01,Dhanvantari Multispeciality Hospital,"G, Indra Nagar, Jhunjhunu, Rajasthan",Jhunjhunun,Rajasthan,,
HA/JHA/ADIY01,Adiyogi Arogya Avenue Hospital,"Near Civil Hospital Bank Gate On Bypass ,",Jhajjar,Haryana,,
DE/DEL/SATY01,Satyabhama Hospitals (P) Ltd.,"Rz-10,Naresh Park,Najafgarh Road,Opposite",New Delhi,Delhi,,
UT/GAU/METR02,Metro City Hospital & Trauma,Near Parag Dairy Village Kakrala Khawaspur,Gautam Buddha,Uttar Pradesh,,
MA/JAL/SANT02,Sant Gadgebaba Multispeciality,"Near Satkar Complex, Civil Hospital Road,Jalna",Jalna,Maharashtra,,
MA/KHA/CHAR124,Charak Hospital,"23, Near Tabassum Clinic, Opp. Police Station,",Khandwa,Maharashtra,,
MA/CHH/CHAR01,Charak Hospital Private Limited,Film Bhawan Rani Sati Gate Yeshwant Niwas,Indore,Madhya Pradesh,,
MA/PUN/GORA02,Gorad Hospital,"Gadhave-Nanaware Heights,Opp Market",Pune,Maharashtra,,
UT/KAN/ANAN03,Anant Raj Hospital,"Near, Over Bridge Akbarpur, Kanpur Dehat,",Kanpur,Haryana,,
HA/JIN/BHAR02,Bharat Multispeciality Hospital,"Opposite Pnb, Kaithal Road, Patiala Chowk, Jind-",Jind,Haryana,,
UT/AGR/DEEP03,Deepshikha Dharmesh Hospital,"Pankaj Motors, Prince Dhaba Ke Samne Nagla",Agra,Uttar Pradesh,,
HA/JHA/JEEW03,Jeewan Mala Hospital,"Plot No. 193, Shakti Nagar, Jhajjar Road,",Jhajjar,Haryana,,
PU/AMR/M.S.03,M.S. Multispeiality Hospital,"Near Namdhari Kanda, Tarn Taran, Road",Tarn Taran,Punjab,,
UT/AGR/MOTI02,Moti Hospital,"Bodla-Bichpuri Road, Opp. Mayur Gas Godown,",Agra,Uttar Pradesh,,
UT/AGR/PATH02,Pathak Shri Hospital,"Near Police Chowki, Bodla Bharatpur Road,",Agra,Uttar Pradesh,,
UT/KAN/SSV 01,Ssv Hospital,"103/116, K R Puram, Sanigawan Road (Near",Kanpur,Uttar Pradesh,,
HA/FAR/VERM02,Verma Hospital,"Kheri Road, Hanuman Nagar, Near Blc School,",Faridabad,Haryana,,
UT/KAN/WEE 01,Wee Care Kirandeep Medical,"14/116, D-3, Civil Lines, Kanpur, Up",Kanpur,Uttar Pradesh,,
MA/DEW/AMAN02,Aman Hospital,"8, Vijay Nagar, Dewas, Mp",Dewas,Madhya Pradesh,,
RA/ALW/CITY2423,City Nursing Home,"C-1, Sadar Bazar, Near Housing Board, Bhiwadi-",Bhiwadi,Rajasthan,,
MA/BHO/DK'S01,Dk'S Hospital Critical Care &,"Plot No. 4, Opposite Vidya Sagar School, Bus",Bhopal,Madhya Pradesh,,
HA/GUR/FORT233,Fortune Hospital Maternity And,"116, Vpo. Badshahpur, Teh. Badshahpur,",Gurugram,Haryana,,
UT/JAU/INDR21530,Indra Hospital & Maternity Home,"Kalichabad Naiganj, Jaunpur Uttar Pradesh",Jaunpur,Uttar Pradesh,,
MA/CHH/JEEW02,Jeewan Asha Superspeciality,"Tansen Nagar In Front Of Tirupati Motors, Near",Gwalior,Madhya Pradesh,,
RA/GAN/MADH02,Madhav Hospital,"Near Pnb, Kund Road, Behror - 301701, Alwar",Alwar,Rajasthan,,
UT/BUL/MEER01,Meerut Life Line Hospital,"Near Muslim Inter College, Raje Sabu Road,",Bulandshahar,Uttar Pradesh,,
TE/MAL/RAM 02,Ram Raj Hospitals,"57/A, Shapur Nagar, Ida Jeedimetla Hyderabad-",Hyderabad,Telangana,,
MA/MUM/MANI245,Manisha Universal Multispeciality,"2Nd Floor, Manisha Heights, Vaishali Nagar, Lbs",Mumbai,Maharashtra,,
UT/JHA/KANK01,Kankane Superspeciality Hospital,"Opp Medical College Gate No 3, Kanpur Road,",Jhansi,Uttar Pradesh,,
GU/AHM/ANAN961,Ananta Multispeciality Hospital,"4Th Floor, 416-418, Centre Point, Opp.",Ahmedabad,Gujarat,,
UT/MUZ/GLOB02,Global Shanti Care Hospital,"Panipat-Kairana Road, Shamli, Up",Shamli,Uttar Pradesh,,
MA/THA/MAXW02,Maxwell Hospital,"101, Tai Bai Plaza, Near Nageshwar Mandir,",Mumbai,Maharashtra,,
HA/GUR/NAVJ02 &,Navjeevan Hospital,"Nizampur Road, Narnaul-122003, Haryana",Mahendergarh,Haryana,,
HA/MAH/NAVJ01,,,,,,
Hospital Code,Hospital Name,,Hospital Address,City,Effective,
HA/REW/RAO 01,Rao Phool Singh Hospital And,,"Near Komal Ultrasound, Rewari Road, Bawal",Bawal,8-Feb-23,
UT/MEE/REET03,Reeta Multispeciality Hospital,,"616 Shobhapur, Rohta Road, Near Bye Pass,",Meerut,8-Feb-23,
RA/ALW/REGE02,Regency Grand Hospital,,"Main Chopanki-Bhiwadi Road Chopanki, Distt.",Alwar,8-Feb-23,
DE/SOU/SARA01,Saral Nursing Home,,"C-198/199, Pul Prahladpur, Main Mb Road, New",New Delhi,8-Feb-23,
HA/ROH/MADO02,Madox Hospital,,"Plot No. 425, Near Champion Gym, Delhi",Rohtak,8-Feb-23,
HA/FAR/ZENI01,Zenith Hospital,,187/1 Mohan Nager Near Bank Of Baroda,Faridabad,8-Feb-23,
HA/PAL/PALW02,Palwal Hospital,,Old G.T. Road,Palwal,8-Feb-23,
UT/MEE/C B 17637,C.B.Memorial Nursing Home,,"K-67,Palhera Chopla,Pallavpuram,Phase-",Meerut,8-Feb-23,
DE/DEL/KALY1059,Kalyani Hospital,,"Rz-30A, Rati Ram Park, Naya Bazar, (Opp.",New Delhi,15-Feb-23,
GU/ANA/RUTU01,Rutu General Hospital,,"Mahavir Marg, Near Ajanta Society",Anand,15-Feb-23,
HA/JHA/DR S22065,Dr Sanjay Multi Speciality Hospital,,"Near Gajraj Hotel, Opp. Govt. Hospital, Rohtak",Bahadurgarh,15-Feb-23,
